Date : 2024-01-22 01:49:28
Directory : c:\Users\vypha\OneDrive\Documents\GitHub\fish
Total : 101 files,  9512 codes, 1071 comments, 769 blanks, all 11352 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\mongo\models\index.ts                                             | TypeScript         |          3 |          0 |          0 |          3 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\mongo\models\types.ts                                             | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\mongo\mongoose.ts                                                 | TypeScript         |         24 |          7 |          7 |         38 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\pusher\client.ts                                                  | TypeScript         |         14 |          1 |          3 |         18 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\pusher\index.ts                                                   | TypeScript         |          3 |          0 |          0 |          3 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\pusher\server.ts                                                  | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\pusher\types.ts                                                   | TypeScript         |          7 |          0 |          1 |          8 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\ReactQueryHydrate.tsx                                 | TypeScript JSX     |          5 |          0 |          2 |          7 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\ReactQueryProvider.tsx                                | TypeScript JSX     |         11 |          1 |          6 |         18 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\auth\index.ts                                         | TypeScript         |          1 |          0 |          0 |          1 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\auth\signOut.ts                                       | TypeScript         |         10 |          0 |          4 |         14 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\index.ts                                              | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\createPlayer.ts                             | TypeScript         |         12 |          0 |          4 |         16 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\createSentenceSymphony.ts                   | TypeScript         |         12 |          5 |          5 |         22 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\index.ts                                    | TypeScript         |          1 |          0 |          0 |          1 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\sentence-symphony\createSentenceSymphony.ts | TypeScript         |         12 |          6 |          5 |         23 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\sentence-symphony\index.ts                  | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\sentence-symphony\submitSentence.ts         | TypeScript         |         35 |          1 |          7 |         43 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\queries\getPlayer.ts                                  | TypeScript         |         13 |          0 |          4 |         17 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\queries\getPlayerByUsername.ts                        | TypeScript         |         13 |          0 |          4 |         17 |
